,企業名,キャッチコピー,ステータス,給与
500,アイデックス株式会社 | ★新宿駅でアクセス抜群！医療×不動産で成長を続ける安定企業,幅広い業務で活躍【営業事務】*年休123日*定時退社推奨*経験不問 正社員,正社員,月給21万円以上 + 賞与（年2回） ※経験・年齢・能力を考慮のうえ、決定致します。 ※試用期間6ヶ月（期…
501,日進陸運株式会社 | ★愛知県からスグ★電話での問い合わせもOK 0567-66-2510,月収40万円可能【配送スタッフ】※夜勤＆長距離ナシ/未経験OK 正社員,正社員,月給25万円〜45万円＋各種手当 ※年齢、経験、能力を考慮のうえ決定します。 ※上記月給にはみなし残業代…
502,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,*年休127日*【 営業 】北関東エリア募集＊未経験歓迎＊年齢不問 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…"
503,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,＼年休127日／【 営業 】中四国エリア募集＊未経験＊年齢不問 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…"
504,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,関西募集／未経験歓迎／年齢不問【営業】＊完休2日・年休127日＊ 正社員,正社員,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…"
505,株式会社ユキ設備 | 大型施設の設置実績多数★好待遇でお待ちしています！,【空調施工スタッフ】★月給26万円～★残業基本なし★手当が豊富 正社員,正社員,月給26万円〜 ＜モデル例＞ 月収30万円／管工事施工管理技士（2級） ※年齢、経験、能力を考慮の上、…
506,株式会社センシン | ハウスメーカーへの安定取引/福利厚生充実◎未経験歓迎,デスクワークが中心の【営業スタッフ】◎応募者全員面接します！ 正社員,正社員,【月給24〜30万円】 ＊＊年功序列ではなく頑張った分だけ収入がアップ＊＊ ※あなたの年齢や経験、能力…
507,株式会社総合資格 | 【 建築・不動産に特化した資格学校を運営 】賞与実績4.8ヶ月分,平均年収894万円！早期キャリアUPも可能【提案営業】※広島勤務 正社員,正社員,■月給 30万円 〜 35万5300円 ＋ 諸手当 ＋ 業績給（月度売上2.5％） ※経験・能力を考慮のうえ、決定し…
508,株式会社中央建設コンサルタント | 《 創業58年の安定・老舗企業 》賞与年3回/長期連続休暇あり,沖縄に根差して年収700万円も目指せる！【 技術士 】転勤なし 正社員,正社員,月給18万9000円〜 ※上記はあくまで最低保証です。 　年齢、経験、能力を考慮の上、優遇します。 ※最長…
509,株式会社ウンノハウス | ☆完全週休2日制☆【研修・勉強会などスキルUPできる環境豊富】,分業制なので業務に集中できる！【インテリアコーディネーター】 正社員,正社員,年俸制360万円〜420万円＋賞与 ※経験・年齢を考慮の上、当社規定により優遇します。 ※固定残業代(30時…
510,株式会社ウンノハウス | 平均年収600万円以上／研修・勉強会などスキルUPできる環境豊富,"オンリーワン""の住まいづくり【住宅施工管理】 正社員",正社員,年俸制360万円〜480万円＋賞与 ※経験・年齢を考慮の上、当社規定により優遇します。 ※固定残業代(月30…
511,日本メディカル株式会社 | ＜高松本社＞医療総合コンサルティング企業として厚い信頼を獲得,高収入を目指せる★医療機関の運用を支える【営業】既存メイン！ 正社員,正社員,"【月給】36万円〜46万円＋諸手当 ※固定残業代（8万5,000円〜11万円、40時間相当分）含む。 　40時間超過…"
512,株式会社ウンノハウス | 慣れ親しんだ場所で働きたいetc...Uターン歓迎!引越代サポート,業績賞与年4回！ワークライフバランスを実現☆【反響営業】 正社員,正社員,"年俸制420万円〜600万円＋賞与 ※固定残業代(月30時間/65,600円〜を含む) 超過分は別途支給。 ※経験・年…"
513,株式会社ウンノハウス | 平均年収600万円以上／研修・勉強会などスキルUPできる環境豊富,"安定企業で""オンリーワン""の住まいづくり【住宅設計】 正社員",正社員,年俸制420万円〜600万円＋賞与 ※経験・年齢を考慮の上、当社規定により優遇します。 ※固定残業代(30時…
514,株式会社マイプレイス | 東証二部上場の株式会社あかつき本社のグループ会社,ファミリー向け中古マンションの【仕入れ営業】をお任せします★ 正社員,正社員,"月給 27万5,000円〜50万円 ※みなし残業代（月30時間分／5万円〜6万9,000円）含む+インセンティブ ※時間…"
515,株式会社木村土建 | 【創業91年】企業基盤の安定力抜群！応募者は全員面接します！,★即戦力★ 経験を活かせる【建築施工管理】◆月給40万以上も可 正社員,正社員,【月給】 ◆1級建築施工管理技士資格者：40万円〜 ◆2級建築施工管理技士資格者：30万円〜 ◆現場経験者(…
516,株式会社ウンノハウス | ＼ 賞与年4回！／ GW・夏季・年末年始は5～8日休み！,住宅関連の工事経験を活かす！【アフターメンテナンス】 正社員,正社員,"年俸制300万円〜420万円＋賞与年4回 ★月収例：250,000円〜350,000円 ※固定残業代(月30時間/46,800円〜…"
517,株式会社総合資格 | 【 建築・不動産に特化した資格学校を運営 】賞与実績4.8ヶ月分,平均年収894万円！【提案営業】※山口／島根勤務 正社員,正社員,■月給 30万円 〜 35万5300円 ＋ 諸手当 ＋ 業績給（月度売上2.5％） ※経験・能力を考慮のうえ、決定し…
518,日研トータルソーシング株式会社 | 【売上931億円】年休最大160日＊6/12転職フェア＠広島出展,AI・自動化で注目の【ロボットのサポートエンジニア】＊広島募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
519,株式会社ミラージュ | ＜ 頑張りはしっかり評価！賞与年2回＋決算賞与 ＞,【ドライバー】未経験歓迎★年齢不問★年収500万円の高収入も可 正社員,正社員,"■月給300,000円 〜 500,000円 〔モデル年収例〕 年収560万円/20代/入社2年目 年収600万円/40代/入社7…"
520,くにうみＡＩ証券株式会社 | ★くにうみアセットマネジメントグループ,【リテール営業】完全週休2日制(土日祝)・年間休日124日 正社員,正社員,"月給200,000円〜400,000円＋インセンティブ報酬 ※経験・能力・スキル等を考慮して決定します。 ※試用…"
521,日研トータルソーシング株式会社 | 【売上931億円】年休最大160日＊6/12転職フェア＠横浜出展,AI・自動化で注目の【ロボットのサポートエンジニア】＊横浜募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
522,日研トータルソーシング株式会社 | 【売上931億円】年休最大160日＊6/5転職フェア＠岐阜出展,AI・自動化で注目の【ロボットのサポートエンジニア】＊岐阜募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
523,株式会社エクススタッフ | ★6/6(日)福岡フェア出展します！★入社3か月で月収33万円以上♪,福岡積極採用！社員のほとんどが未経験スタート【アドバイザー】 正社員,正社員,月給25万円以上＋インセンティブ+奨励金年4回 ※経験・年齢を考慮のうえ、当社規定により優遇いたします …
524,株式会社美雪興業 | 地域密着で、コロナの影響もほとんどなしの安定企業！,プライベート充実＆高収入GET【作業スタッフ】未経験大歓迎！ 正社員,正社員,"【日給】10,000円〜20,000円 ※入社前のご経験やスキルを総合的に評価、優遇します"
525,日研トータルソーシング株式会社 | 【売上931億円】年休最大160日＊6/5転職フェア＠宇都宮出展,AI・自動化で注目の【ロボットのサポートエンジニア】＊栃木募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
526,株式会社グライブ | ★年間参加者5000名超の女性向けマネーセミナーを開催！,【セミナー講師＆コンサル営業】★完全反響営業・フレックス制 正社員,正社員,月給20〜40万円＋インセンティブ（月平均70〜80万円支給） ※月収の目安は30〜300万円、実績次第で高収…
527,日研トータルソーシング株式会社 | 【売上931億円】年休最大160日＊6/12転職フェア＠高崎出展,AI・自動化で注目の【ロボットのサポートエンジニア】＊群馬募集 正社員,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
528,株式会社福岡技建工業 | ◎高収入を実現可能《 固定給＋歩合制 》/完全週休2日制(土日祝),住まいづくりをサポートする【 反響型営業 】☆未経験者歓迎 正社員,正社員,月給25万円〜＋歩合＋諸手当 ※経験、能力を考慮の上、優遇します。 ※最長3ヶ月間の試用期間あり(待遇…
529,株式会社近畿道路資材 | ◎WEB面接可◎―イノベーションで地球を守る―総合環境整備企業,【経理】経理×高収入│残業月20時間程度！IT積極導入！ 正社員,正社員,"月給25万円＋諸手当 （※固定残業代月56,000円／40時間を含みます。） （※超過時間分は別途支給します。…"
530,長岡炭酸株式会社 | Daigas（大阪ガス）グループ/長岡採用,【総務・人事】★管理職候補 ◎残業月30h以内 ◎年間休日122日 正社員,正社員,"月給38万4,500円〜42万9,500円 ※経験・スキルに応じて優遇します。 ※試用期間あり（3ヶ月）。期間中の…"
531,株式会社バンブーフィールド | 8～12日の長期休暇あり／完全週休2日／残業少なめ,【不動産仕入れ営業】圧倒的な仕入れ易さで年収2000万円も実現可 正社員,正社員,月給30万円~＋各種手当＋インセン ※マネージャー採用の場合は月給35万円~ (収益物件は利益の最高10％、…
532,株式会社YES | ◆年休125日(土日祝)◆残業月30h以内◆メリハリをつけて働ける！,◆経験者歓迎！◆待遇も働きやすさも高水準の【電気施工管理】 正社員,正社員,月給：25万円〜45万円＋各種手当＋決算賞与 ※上記の給与額は最低保証額です ※経験や年齢などを考慮の…
